country_iso2,report_year,sector_code,sector_name,sector_waste_tonnes,pct_of_country_total,sector_rank
RO,2008,G4677,Wholesale of waste and scrap,6563,1.3,2
RO,2008,C,Manufacturing,385374,74,3
RO,2008,A,"Agriculture, forestry and fishing",3274,0.6,4
RO,2008,B,Mining and quarrying,31117,6,5
RO,2008,D,"Electricity, gas, steam and air conditioning supply",2193,0.4,6
RO,2008,EP_HH,Households,17984,3.5,7
RO,2008,F,Construction,1485,0.3,8
RO,2008,A,"Agriculture, forestry and fishing",8742,0.8,1
RO,2008,G4677,Wholesale of waste and scrap,73,0,2
RO,2008,C,Manufacturing,500826,48.1,3
RO,2008,B,Mining and quarrying,496302,47.7,4
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),33332,3.2,5
RO,2008,EP_HH,Households,261,0,6
